X,Y,Slope_UTM,TWI_UTM,Flowlog_UT,RiverDist_,RiverDC_UT,DEMC_UTM,population_density,road_density,latitude,longitude,lat,lon
561551.679557626,2077065.22455442,1.67145,6.84379,0.0,296.22192,4.06415,5.0,0.0,0.00325,18.78432893974851,105.58405822896123,18.78432893974851,105.58405822896123
561551.680811583,2076004.75480677,0.77576,9.48703,0.82649,357.13864,0.56051,6.0,0.8262,0.00559,18.774745020861722,105.58402522061498,18.774745020861722,105.58402522061498
561552.935718593,2076103.49581645,0.9196,5.67396,0.30391,272.2709,1.45569,8.0,1.2633,0.00645,18.77563734882124,105.58404020093677,18.77563734882124,105.58404020093677
561557.990833199,2077253.49421928,0.0,0.0,0.0,286.63806,7.24931,3.0,0.0,0.00341,18.786030224974027,105.5841239786865,18.786030224974027,105.5841239786865
561558.995945871,2076778.05218745,0.32505,5.69338,0.30393,262.47769,5.3826,7.0,0.0,0.00366,18.781733424143273,105.58411870600023,18.781733424143273,105.58411870600023
561560.789668216,2076290.63556986,0.61943,8.53487,0.98591,167.47118,3.37698,5.0,0.70408,0.00722,18.777328378474035,105.5841205464379,18.777328378474035,105.5841205464379
561565.39196973,2076855.47342901,2.3726,5.21777,0.33928,282.34286,4.58216,6.0,0.0,0.00334,18.782432923072953,105.58418180563945,18.782432923072953,105.58418180563945
561571.170215151,2075816.68244986,1.32398,6.03215,0.32297,545.82263,0.00122,7.0,0.09365,0.00436,18.77304475158063,105.58420428036514,18.77304475158063,105.58420428036514
561574.867955186,2076474.40513583,1.22997,6.86084,0.3865,211.94598,4.8096,4.0,0.03804,0.0062,18.77898876526301,105.58425984711596,18.77898876526301,105.58425984711596
561584.047493689,2076963.93619308,1.18187,10.63233,0.0,315.80716,3.30267,4.0,0.0,0.003,18.783412593487583,105.5843621971473,18.783412593487583,105.5843621971473
561587.590667295,2077578.72360651,0.95838,8.29189,0.97156,15.25621,16.91095,4.0,0.0,0.00508,18.788968580911607,105.58441497860014,18.788968580911607,105.58441497860014
561588.806509532,2076392.45924592,2.28648,5.44244,0.27223,191.15971,3.95803,6.0,0.38997,0.0073,18.778247771590422,105.58438954655178,18.778247771590422,105.58438954655178
561591.238860157,2076200.29578499,0.63056,8.94018,1.12297,224.47888,2.16587,6.0,1.4513,0.00733,18.776511035709447,105.58440663869168,18.776511035709447,105.58440663869168
561591.324902318,2077422.43536723,3.36112,12.27309,1.67557,143.92676,11.26648,3.0,0.0,0.00425,18.787556027765973,105.58444553979739,18.787556027765973,105.58444553979739
561592.943553297,2077484.62612738,1.2563,7.27261,0.66031,86.97375,13.08019,4.0,0.0,0.00453,18.788118023674546,105.58446283749959,18.788118023674546,105.58446283749959
561594.512630065,2077323.21644196,1.917,6.40417,0.42447,238.79739,7.44203,4.0,0.0,0.00364,18.786659250033196,105.58447269422052,18.786659250033196,105.58447269422052
561597.195828815,2075765.8212138,0.0,0.0,0.0,593.62134,0.0,6.0,0.00081,0.00397,18.7725843245471,105.58444962490057,18.7725843245471,105.58444962490057
561600.474396596,2077241.2821643,1.33409,9.17961,0.80758,321.83002,4.93459,3.0,0.0,0.00339,18.785918598491254,105.58452670914623,18.785918598491254,105.58452670914623
561603.576285222,2077461.99326298,1.2563,7.27261,0.66031,111.06686,11.76134,4.0,0.0,0.00453,18.78791316526241,105.58456302318737,18.78791316526241,105.58456302318737
561605.701891352,2077911.34745099,0.0,0.0,0.0,21.57553,24.31176,2.0,0.03896,0.00516,18.791974103280587,105.58459720570849,18.791974103280587,105.58459720570849
561618.815693069,2076301.53716617,1.87128,5.81795,0.27971,218.16908,2.64952,6.0,1.11165,0.00794,18.77742517910078,105.58467144589784,18.77742517910078,105.58467144589784
561625.389251203,2076701.3087664,0.98288,6.93967,0.39381,326.49704,3.36187,5.0,0.0,0.00441,18.781037890610598,105.58474627934616,18.781037890610598,105.58474627934616
561627.309707656,2076588.2726476,1.28066,9.59832,1.02297,308.91464,3.6633,4.0,0.0,0.00571,18.780016278049942,105.5847609771321,18.780016278049942,105.5847609771321
561635.661153939,2078002.10160663,1.43454,5.68147,0.30952,92.17072,24.80749,4.0,0.03452,0.00527,18.79279339601059,105.58488432026407,18.79279339601059,105.58488432026407
561636.417105607,2076138.56199933,0.83338,10.42774,1.31764,306.64594,1.08259,6.0,2.07736,0.00721,18.775951779946336,105.58483337015328,18.775951779946336,105.58483337015328
561639.01165682,2076818.19103371,2.29687,10.05622,0.97468,353.3714,2.44923,4.0,0.0,0.0041,18.78209380070895,105.58487917864471,18.78209380070895,105.58487917864471
561642.623875828,2077448.14684553,3.82087,9.42869,1.1976,138.15082,9.47811,4.0,0.0,0.00469,18.78778686942901,105.58493310373605,18.78778686942901,105.58493310373605
561651.603189517,2076499.23035417,1.40091,11.2998,1.68055,293.45898,3.06071,3.0,0.00529,0.00739,18.77921084334971,105.58498870393589,18.77921084334971,105.58498870393589
561659.513107637,2077474.01941368,2.09173,11.23466,1.76557,137.30585,9.62709,3.0,0.0,0.00496,18.788020188700838,105.58509416863133,18.788020188700838,105.58509416863133
561660.256758999,2076141.46683985,1.08834,9.31235,0.95053,317.27774,0.91114,6.0,2.07736,0.00741,18.77597732424037,105.58505965311588,18.77597732424037,105.58505965311588
561662.974892307,2075746.14419806,0.0,0.0,0.0,637.48309,0.0,6.0,0.00924,0.00423,18.7724045422615,105.58507311556319,18.7724045422615,105.58507311556319
561666.769750688,2077315.86199438,2.88697,9.70272,1.18813,270.55582,4.40303,3.0,0.0,0.00394,18.786590638195207,105.58515808885747,18.786590638195207,105.58515808885747
561668.755979036,2077043.2096307,0.64863,9.8303,0.0,411.21063,0.88635,4.0,0.0,0.00334,18.784126505116163,105.58516842656749,18.784126505116163,105.58516842656749
